Phylum;Phylum_count;bact_defence_system;system_count;Number_of_phylum_containing_each_system;Total_number_of_different_system_per_prokaryotic_genomes;Frequency_of_each_system_in_a_given_phylum
Bacteroidota;245;Phosphorothioation;2;16;23;0.065306122
Bacteroidota;245;Ppl;0;0;0;0
Bacteroidota;245;Pycsar;2;10;17;0.040816327
Bacteroidota;245;RADAR;0;0;0;0
Bacteroidota;245;RM;4;194;388;0.791836735
Bacteroidota;245;Retron;2;30;32;0.12244898
Bacteroidota;245;Septu;1;39;39;0.159183673
Bacteroidota;245;Shedu;1;9;9;0.036734694
Bacteroidota;245;TIR-NLR;1;2;2;0.008163265
Bacteroidota;245;TerY-P;1;4;4;0.016326531
Bacteroidota;245;Thoeris;1;10;10;0.040816327
Bacteroidota;245;Tmn;1;7;7;0.028571429
Bacteroidota;245;Upx;0;0;0;0
Bacteroidota;245;Viperin;1;5;5;0.020408163
Bacteroidota;245;Wadjet;1;10;10;0.040816327
Bacteroidota;245;Zorya;1;2;2;0.008163265
Bacteroidota;245;dXTPase;1;1;1;0.004081633
Bacteroidota;245;ietAS;1;16;16;0.065306122
Bacteroidota;245;qatABCD;1;4;4;0.016326531
Bdellovibrionota;2;3HP;0;0;0;0
Bdellovibrionota;2;AVAST;0;0;0;0
Bdellovibrionota;2;Abi;0;0;0;0
Bdellovibrionota;2;Argonaute;0;0;0;0
Bdellovibrionota;2;BREX;0;0;0;0
Bdellovibrionota;2;CBASS;0;0;0;0
Bdellovibrionota;2;CRISPR-Cas;0;0;0;0
Bdellovibrionota;2;DISARM;0;0;0;0
Bdellovibrionota;2;DRT;0;0;0;0
Bdellovibrionota;2;DUF4238;0;0;0;0
Bdellovibrionota;2;DarTG;0;0;0;0
Bdellovibrionota;2;Dpd;0;0;0;0
Bdellovibrionota;2;DprA-PRTase;0;0;0;0
Bdellovibrionota;2;Druantia;0;0;0;0
Bdellovibrionota;2;Dsr;0;0;0;0
Bdellovibrionota;2;GAO;0;0;0;0
Bdellovibrionota;2;Gabija;0;0;0;0
Bdellovibrionota;2;Gasdermin;0;0;0;0
Bdellovibrionota;2;Hachiman;0;0;0;0
Bdellovibrionota;2;Helicase-DUF2290;0;0;0;0
Bdellovibrionota;2;Hhe;0;0;0;0
Bdellovibrionota;2;Hma;0;0;0;0
Bdellovibrionota;2;Hydrolase-TM;0;0;0;0
Bdellovibrionota;2;Kiwa;0;0;0;0
Bdellovibrionota;2;Lamassu;0;0;0;0
Bdellovibrionota;2;Mza;0;0;0;0
Bdellovibrionota;2;Nhi;0;0;0;0
Bdellovibrionota;2;PARIS;0;0;0;0
Bdellovibrionota;2;Paris_fused;0;0;0;0
Bdellovibrionota;2;Phosphorothioation;0;0;0;0
Bdellovibrionota;2;Ppl;0;0;0;0
Bdellovibrionota;2;Pycsar;0;0;0;0
Bdellovibrionota;2;RADAR;0;0;0;0
Bdellovibrionota;2;RM;0;0;0;0
Bdellovibrionota;2;Retron;0;0;0;0
Bdellovibrionota;2;Septu;0;0;0;0
Bdellovibrionota;2;Shedu;0;0;0;0
Bdellovibrionota;2;TIR-NLR;0;0;0;0
Bdellovibrionota;2;TerY-P;0;0;0;0
Bdellovibrionota;2;Thoeris;0;0;0;0
Bdellovibrionota;2;Tmn;0;0;0;0
Bdellovibrionota;2;Upx;0;0;0;0
Bdellovibrionota;2;Viperin;0;0;0;0
Bdellovibrionota;2;Wadjet;0;0;0;0
Bdellovibrionota;2;Zorya;0;0;0;0
Bdellovibrionota;2;dXTPase;0;0;0;0
Bdellovibrionota;2;ietAS;1;1;1;0.5
Bdellovibrionota;2;qatABCD;0;0;0;0
Campylobacterota;6;3HP;0;0;0;0
Campylobacterota;6;AVAST;0;0;0;0
Campylobacterota;6;Abi;1;2;2;0.333333333
Campylobacterota;6;Argonaute;0;0;0;0
Campylobacterota;6;BREX;1;1;1;0.166666667
Campylobacterota;6;CBASS;1;1;1;0.166666667
Campylobacterota;6;CRISPR-Cas;1;1;1;0.166666667
Campylobacterota;6;DISARM;0;0;0;0
Campylobacterota;6;DRT;1;2;2;0.333333333
Campylobacterota;6;DUF4238;0;0;0;0
Campylobacterota;6;DarTG;0;0;0;0
Campylobacterota;6;Dpd;0;0;0;0
Campylobacterota;6;DprA-PRTase;0;0;0;0
Campylobacterota;6;Druantia;0;0;0;0
Campylobacterota;6;Dsr;0;0;0;0
Campylobacterota;6;GAO;0;0;0;0
Campylobacterota;6;Gabija;0;0;0;0
Campylobacterota;6;Gasdermin;0;0;0;0
Campylobacterota;6;Hachiman;1;1;1;0.166666667
Campylobacterota;6;Helicase-DUF2290;0;0;0;0
Campylobacterota;6;Hhe;0;0;0;0
Campylobacterota;6;Hma;0;0;0;0
Campylobacterota;6;Hydrolase-TM;0;0;0;0
Campylobacterota;6;Kiwa;1;1;1;0.166666667
Campylobacterota;6;Lamassu;0;0;0;0
Campylobacterota;6;Mza;1;1;1;0.166666667
Campylobacterota;6;Nhi;0;0;0;0
Campylobacterota;6;PARIS;0;0;0;0
Campylobacterota;6;Paris_fused;0;0;0;0
Campylobacterota;6;Phosphorothioation;1;1;1;0.166666667
Campylobacterota;6;Ppl;0;0;0;0
Campylobacterota;6;Pycsar;0;0;0;0
Campylobacterota;6;RADAR;0;0;0;0
Campylobacterota;6;RM;4;6;14;1
Campylobacterota;6;Retron;1;1;1;0.166666667
Campylobacterota;6;Septu;1;1;1;0.166666667
Campylobacterota;6;Shedu;0;0;0;0
Campylobacterota;6;TIR-NLR;0;0;0;0
Campylobacterota;6;TerY-P;0;0;0;0
Campylobacterota;6;Thoeris;0;0;0;0
Campylobacterota;6;Tmn;0;0;0;0
Campylobacterota;6;Upx;0;0;0;0
Campylobacterota;6;Viperin;1;1;1;0.166666667
Campylobacterota;6;Wadjet;0;0;0;0
Campylobacterota;6;Zorya;0;0;0;0
Campylobacterota;6;dXTPase;0;0;0;0
Campylobacterota;6;ietAS;0;0;0;0
Campylobacterota;6;qatABCD;1;1;1;0.166666667
Cyanobacteriota;9;3HP;0;0;0;0
Cyanobacteriota;9;AVAST;0;0;0;0
Cyanobacteriota;9;Abi;1;3;3;0.333333333
Cyanobacteriota;9;Argonaute;3;2;4;0.222222222
Cyanobacteriota;9;BREX;0;0;0;0
Cyanobacteriota;9;CBASS;1;1;1;0.111111111
Cyanobacteriota;9;CRISPR-Cas;3;5;10;0.555555556
Cyanobacteriota;9;DISARM;0;0;0;0
Cyanobacteriota;9;DRT;1;3;3;0.333333333
Cyanobacteriota;9;DUF4238;0;0;0;0
Cyanobacteriota;9;DarTG;1;2;2;0.222222222
Cyanobacteriota;9;Dpd;0;0;0;0
Cyanobacteriota;9;DprA-PRTase;0;0;0;0
Cyanobacteriota;9;Druantia;1;1;1;0.111111111
Cyanobacteriota;9;Dsr;0;0;0;0
Cyanobacteriota;9;GAO;0;0;0;0
Cyanobacteriota;9;Gabija;0;0;0;0
Cyanobacteriota;9;Gasdermin;0;0;0;0
Cyanobacteriota;9;Hachiman;0;0;0;0
Cyanobacteriota;9;Helicase-DUF2290;0;0;0;0
Cyanobacteriota;9;Hhe;0;0;0;0
Cyanobacteriota;9;Hma;1;1;1;0.111111111
Cyanobacteriota;9;Hydrolase-TM;0;0;0;0
Cyanobacteriota;9;Kiwa;0;0;0;0
Cyanobacteriota;9;Lamassu;0;0;0;0
Cyanobacteriota;9;Mza;1;2;2;0.222222222
Cyanobacteriota;9;Nhi;0;0;0;0
Cyanobacteriota;9;PARIS;1;1;1;0.111111111
Cyanobacteriota;9;Paris_fused;1;1;1;0.111111111
Cyanobacteriota;9;Phosphorothioation;3;4;8;0.444444444
Cyanobacteriota;9;Ppl;0;0;0;0
Cyanobacteriota;9;Pycsar;1;1;1;0.111111111
Cyanobacteriota;9;RADAR;0;0;0;0
Cyanobacteriota;9;RM;4;6;16;0.666666667
Cyanobacteriota;9;Retron;0;0;0;0
Cyanobacteriota;9;Septu;1;3;3;0.333333333
Cyanobacteriota;9;Shedu;0;0;0;0
Cyanobacteriota;9;TIR-NLR;0;0;0;0
Cyanobacteriota;9;TerY-P;0;0;0;0
Cyanobacteriota;9;Thoeris;1;1;1;0.111111111
Cyanobacteriota;9;Tmn;0;0;0;0
Cyanobacteriota;9;Upx;0;0;0;0
Cyanobacteriota;9;Viperin;0;0;0;0
Cyanobacteriota;9;Wadjet;0;0;0;0
Cyanobacteriota;9;Zorya;1;1;1;0.111111111
Cyanobacteriota;9;dXTPase;0;0;0;0
Cyanobacteriota;9;ietAS;0;0;0;0
Cyanobacteriota;9;qatABCD;0;0;0;0
Deinococcota;5;3HP;0;0;0;0
Deinococcota;5;AVAST;0;0;0;0
Deinococcota;5;Abi;1;4;4;0.8
Deinococcota;5;Argonaute;1;1;1;0.2
Deinococcota;5;BREX;1;1;1;0.2
Deinococcota;5;CBASS;1;2;2;0.4
Deinococcota;5;CRISPR-Cas;1;1;1;0.2
Deinococcota;5;DISARM;0;0;0;0
Deinococcota;5;DRT;0;0;0;0
Deinococcota;5;DUF4238;0;0;0;0
Deinococcota;5;DarTG;1;1;1;0.2
Deinococcota;5;Dpd;0;0;0;0
Deinococcota;5;DprA-PRTase;0;0;0;0
Deinococcota;5;Druantia;1;1;1;0.2
Deinococcota;5;Dsr;0;0;0;0
Deinococcota;5;GAO;0;0;0;0
Deinococcota;5;Gabija;0;0;0;0
Deinococcota;5;Gasdermin;0;0;0;0
Deinococcota;5;Hachiman;0;0;0;0
Deinococcota;5;Helicase-DUF2290;0;0;0;0
Deinococcota;5;Hhe;0;0;0;0
Deinococcota;5;Hma;0;0;0;0
Deinococcota;5;Hydrolase-TM;0;0;0;0
Deinococcota;5;Kiwa;0;0;0;0
Deinococcota;5;Lamassu;0;0;0;0
Deinococcota;5;Mza;0;0;0;0
Deinococcota;5;Nhi;0;0;0;0
Deinococcota;5;PARIS;0;0;0;0
Deinococcota;5;Paris_fused;0;0;0;0
Deinococcota;5;Phosphorothioation;0;0;0;0
Deinococcota;5;Ppl;0;0;0;0
