Phylum;Phylum_count;bact_defence_system;system_count;Number_of_phylum_containing_each_system;Total_number_of_different_system_per_prokaryotic_genomes;Frequency_of_each_system_in_a_given_phylum
Armatimonadota;1;Gabija;0;0;0;0
Armatimonadota;1;Gasdermin;0;0;0;0
Armatimonadota;1;Hachiman;0;0;0;0
Armatimonadota;1;Helicase-DUF2290;0;0;0;0
Armatimonadota;1;Hhe;0;0;0;0
Armatimonadota;1;Hma;0;0;0;0
Armatimonadota;1;Hydrolase-TM;0;0;0;0
Armatimonadota;1;Kiwa;0;0;0;0
Armatimonadota;1;Lamassu;0;0;0;0
Armatimonadota;1;Mza;0;0;0;0
Armatimonadota;1;Nhi;0;0;0;0
Armatimonadota;1;PARIS;0;0;0;0
Armatimonadota;1;Paris_fused;0;0;0;0
Armatimonadota;1;Phosphorothioation;0;0;0;0
Armatimonadota;1;Ppl;0;0;0;0
Armatimonadota;1;Pycsar;0;0;0;0
Armatimonadota;1;RADAR;0;0;0;0
Armatimonadota;1;RM;1;1;1;1
Armatimonadota;1;Retron;0;0;0;0
Armatimonadota;1;Septu;0;0;0;0
Armatimonadota;1;Shedu;1;1;1;1
Armatimonadota;1;TIR-NLR;0;0;0;0
Armatimonadota;1;TerY-P;0;0;0;0
Armatimonadota;1;Thoeris;0;0;0;0
Armatimonadota;1;Tmn;0;0;0;0
Armatimonadota;1;Upx;0;0;0;0
Armatimonadota;1;Viperin;0;0;0;0
Armatimonadota;1;Wadjet;0;0;0;0
Armatimonadota;1;Zorya;0;0;0;0
Armatimonadota;1;dXTPase;0;0;0;0
Armatimonadota;1;ietAS;0;0;0;0
Armatimonadota;1;qatABCD;0;0;0;0
Bacillota;32;3HP;0;0;0;0
Bacillota;32;AVAST;1;1;1;0.03125
Bacillota;32;Abi;2;12;15;0.375
Bacillota;32;Argonaute;0;0;0;0
Bacillota;32;BREX;1;4;4;0.125
Bacillota;32;CBASS;1;5;5;0.15625
Bacillota;32;CRISPR-Cas;2;9;10;0.28125
Bacillota;32;DISARM;0;0;0;0
Bacillota;32;DRT;1;9;9;0.28125
Bacillota;32;DUF4238;0;0;0;0
Bacillota;32;DarTG;0;0;0;0
Bacillota;32;Dpd;0;0;0;0
Bacillota;32;DprA-PRTase;0;0;0;0
Bacillota;32;Druantia;1;1;1;0.03125
Bacillota;32;Dsr;1;1;1;0.03125
Bacillota;32;GAO;1;2;2;0.0625
Bacillota;32;Gabija;1;6;6;0.1875
Bacillota;32;Gasdermin;0;0;0;0
Bacillota;32;Hachiman;1;1;1;0.03125
Bacillota;32;Helicase-DUF2290;1;2;2;0.0625
Bacillota;32;Hhe;0;0;0;0
Bacillota;32;Hma;0;0;0;0
Bacillota;32;Hydrolase-TM;0;0;0;0
Bacillota;32;Kiwa;1;3;3;0.09375
Bacillota;32;Lamassu;0;0;0;0
Bacillota;32;Mza;1;3;3;0.09375
Bacillota;32;Nhi;1;1;1;0.03125
Bacillota;32;PARIS;0;0;0;0
Bacillota;32;Paris_fused;0;0;0;0
Bacillota;32;Phosphorothioation;1;3;3;0.09375
Bacillota;32;Ppl;0;0;0;0
Bacillota;32;Pycsar;0;0;0;0
Bacillota;32;RADAR;0;0;0;0
Bacillota;32;RM;3;27;47;0.84375
Bacillota;32;Retron;1;6;6;0.1875
Bacillota;32;Septu;1;2;2;0.0625
Bacillota;32;Shedu;1;1;1;0.03125
Bacillota;32;TIR-NLR;0;0;0;0
Bacillota;32;TerY-P;0;0;0;0
Bacillota;32;Thoeris;1;1;1;0.03125
Bacillota;32;Tmn;0;0;0;0
Bacillota;32;Upx;0;0;0;0
Bacillota;32;Viperin;0;0;0;0
Bacillota;32;Wadjet;3;13;16;0.40625
Bacillota;32;Zorya;1;2;2;0.0625
Bacillota;32;dXTPase;1;3;3;0.09375
Bacillota;32;ietAS;1;3;3;0.09375
Bacillota;32;qatABCD;1;1;1;0.03125
Bacteroidota;245;3HP;0;0;0;0
Bacteroidota;245;AVAST;1;16;16;0.065306122
Bacteroidota;245;Abi;3;130;168;0.530612245
Bacteroidota;245;Argonaute;2;23;24;0.093877551
Bacteroidota;245;BREX;1;5;5;0.020408163
Bacteroidota;245;CBASS;2;47;51;0.191836735
Bacteroidota;245;CRISPR-Cas;3;49;53;0.2
Bacteroidota;245;DISARM;0;0;0;0
Bacteroidota;245;DRT;3;74;84;0.302040816
Bacteroidota;245;DUF4238;0;0;0;0
Bacteroidota;245;DarTG;1;13;13;0.053061224
Bacteroidota;245;Dpd;0;0;0;0
Bacteroidota;245;DprA-PRTase;0;0;0;0
Bacteroidota;245;Druantia;1;7;7;0.028571429
Bacteroidota;245;Dsr;0;0;0;0
Bacteroidota;245;GAO;1;11;11;0.044897959
Bacteroidota;245;Gabija;1;38;38;0.155102041
Bacteroidota;245;Gasdermin;1;8;8;0.032653061
Bacteroidota;245;Hachiman;1;17;17;0.069387755
Bacteroidota;245;Helicase-DUF2290;1;1;1;0.004081633
Bacteroidota;245;Hhe;0;0;0;0
Bacteroidota;245;Hma;1;1;1;0.004081633
Bacteroidota;245;Hydrolase-TM;0;0;0;0
Bacteroidota;245;Kiwa;1;15;15;0.06122449
Bacteroidota;245;Lamassu;1;5;5;0.020408163
Bacteroidota;245;Mza;1;9;9;0.036734694
Bacteroidota;245;Nhi;1;3;3;0.012244898
Bacteroidota;245;PARIS;1;3;3;0.012244898
Bacteroidota;245;Paris_fused;1;2;2;0.008163265
